date,enter_station,leave_station,sum_counts,rank
2017-01,西門,台北車站,254523,1
2017-01,台北車站,西門,235793,2
2017-01,市政府,台北車站,166078,3
2017-01,淡水,台北車站,160878,4
2017-01,台北車站,市政府,158670,5
2017-01,劍潭,台北車站,148335,6
2017-01,台北車站,淡水,144707,7
2017-01,台北101/世貿,台北車站,141303,8
2017-01,忠孝復興,台北車站,131033,9
2017-01,台北車站,忠孝復興,129590,10
2017-01,台北車站,台北101/世貿,129490,11
2017-01,台北車站,劍潭,118558,12
2017-01,忠孝敦化,台北車站,110349,13
2017-01,台北車站,忠孝敦化,108321,14
2017-01,中正紀念堂,台北車站,108204,15
2017-01,台北車站,中正紀念堂,108014,16
2017-01,公館,台北車站,104613,17
2017-01,台北車站,石牌,96720,18
2017-01,市政府,忠孝敦化,95782,19
2017-01,石牌,台北車站,94762,20
2017-01,台北車站,公館,93711,21
2017-01,台北車站,士林,92726,22
2017-01,台北車站,頂溪,92289,23
2017-01,忠孝敦化,市政府,91602,24
2017-01,頂溪,台北車站,90155,25
2017-01,忠孝新生,台北車站,90119,26
2017-01,台北車站,忠孝新生,90113,27
2017-01,士林,台北車站,89514,28
2017-01,新埔,BL板橋,86684,29
2017-01,市政府,西門,83977,30
2017-01,市政府,忠孝復興,81559,31
2017-01,西門,市政府,80121,32
2017-01,台北車站,圓山,79384,33
2017-01,圓山,台北車站,78061,34
2017-01,BL板橋,新埔,77269,35
2017-01,忠孝復興,市政府,75664,36
2017-01,台北車站,雙連,75080,37
2017-01,台北車站,中山,74799,38
2017-01,淡水,劍潭,74567,39
2017-01,雙連,台北車站,72586,40
2017-01,中山,台北車站,72022,41
2017-01,西門,BL板橋,71986,42
2017-01,古亭,台北車站,71829,43
2017-01,南港展覽館,市政府,70917,44
2017-01,台北車站,古亭,70331,45
2017-01,台北車站,新埔,69575,46
2017-01,台北車站,芝山,69207,47
2017-01,忠孝復興,西門,68735,48
2017-01,新埔,台北車站,68533,49
2017-01,台北車站,東門,68370,50
2017-02,西門,台北車站,279359,1
2017-02,台北車站,西門,262576,2
2017-02,市政府,台北車站,164508,3
2017-02,台北車站,市政府,162210,4
2017-02,劍潭,台北車站,146542,5
2017-02,淡水,台北車站,144829,6
2017-02,台北車站,淡水,143982,7
2017-02,台北車站,忠孝復興,129047,8
2017-02,忠孝復興,台北車站,126588,9
2017-02,台北101/世貿,台北車站,125657,10
2017-02,台北車站,劍潭,123745,11
2017-02,台北車站,台北101/世貿,123047,12
2017-02,台北車站,公館,116388,13
2017-02,公館,台北車站,115320,14
2017-02,台北車站,忠孝敦化,108837,15
2017-02,忠孝敦化,台北車站,108058,16
2017-02,台北車站,石牌,99678,17
2017-02,台北車站,中正紀念堂,97824,18
2017-02,台北車站,忠孝新生,96240,19
2017-02,中正紀念堂,台北車站,95516,20
2017-02,台北車站,士林,93606,21
2017-02,台北車站,頂溪,92957,22
2017-02,石牌,台北車站,92604,23
2017-02,忠孝新生,台北車站,91390,24
2017-02,市政府,忠孝敦化,90139,25
2017-02,市政府,西門,88565,26
2017-02,士林,台北車站,87486,27
2017-02,忠孝敦化,市政府,86404,28
2017-02,台北車站,圓山,86318,29
2017-02,頂溪,台北車站,84814,30
2017-02,西門,BL板橋,84586,31
2017-02,西門,市政府,82820,32
2017-02,圓山,台北車站,79526,33
2017-02,新埔,BL板橋,78784,34
2017-02,市政府,忠孝復興,75104,35
2017-02,BL板橋,西門,74817,36
2017-02,BL板橋,新埔,73041,37
2017-02,台北車站,新埔,72925,38
2017-02,台北車站,雙連,72061,39
2017-02,台北車站,中山,71954,40
2017-02,台北車站,國父紀念館,71685,41
2017-02,台北車站,古亭,70493,42
2017-02,忠孝復興,西門,70440,43
2017-02,忠孝復興,市政府,70162,44
2017-02,台北車站,芝山,69984,45
2017-02,台北車站,永安市場,69882,46
2017-02,台北車站,龍山寺,69606,47
2017-02,台北車站,BL板橋,68944,48
2017-02,新埔,台北車站,68825,49
2017-02,南港展覽館,市政府,68359,50
2017-03,西門,台北車站,239756,1
2017-03,台北車站,西門,224347,2
2017-03,市政府,台北車站,179035,3
2017-03,台北車站,市政府,173707,4
2017-03,劍潭,台北車站,159824,5
2017-03,淡水,台北車站,148670,6
2017-03,台北車站,忠孝復興,139924,7
2017-03,忠孝復興,台北車站,138629,8
2017-03,台北車站,淡水,136275,9
2017-03,台北車站,劍潭,132477,10
2017-03,台北101/世貿,台北車站,128009,11
2017-03,公館,台北車站,124912,12
2017-03,台北車站,台北101/世貿,122894,13
2017-03,忠孝敦化,台北車站,116541,14
2017-03,中正紀念堂,台北車站,115928,15
2017-03,台北車站,忠孝敦化,115842,16
2017-03,台北車站,公館,114072,17
2017-03,台北車站,中正紀念堂,110937,18
2017-03,台北車站,石牌,110406,19
2017-03,石牌,台北車站,107211,20
2017-03,忠孝新生,台北車站,103610,21
2017-03,台北車站,忠孝新生,101734,22
2017-03,士林,台北車站,98525,23
2017-03,台北車站,士林,93866,24
2017-03,台北車站,頂溪,93149,25
2017-03,市政府,忠孝敦化,92378,26
2017-03,忠孝敦化,市政府,88302,27
2017-03,頂溪,台北車站,88086,28
